Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Link_Stom,-0.010395,6.7688E-09,-0.023836,0,0,0,1.0621,0.0038925,-2.8123E-10,3.9723E-05,0.001901,5.3901E-11,0.0051791,0,0,0,0,0,0,package://css_bot/meshes/Link_Stom.STL,1,1,1,1,0,0,0,0,0,0,package://css_bot/meshes/Link_Stom.STL,,02_Assembly_Leg-1/02_Leg_00S1_top-1;02_Assembly_Leg-1/10_Common_13N1-XlzServo_70KG&XlzServoPlate-1;02_Assembly_Leg-1/10_Common_13N1-XlzServo_70KG&XlzServoPlate-2,C_BaseStom,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_Stom_1,-0.00760104950242152,-8.16738800348226E-10,0.0431330359785387,0,0,0,1.09120545847975,0.0035291046529339,1.58514373681448E-10,-4.08388755605739E-05,0.00145987275495497,2.35755287339547E-10,0.00428996022500754,0,0,0,0,0,0,package://css_bot/meshes/Link_Stom_1.STL,1,1,1,1,0,0,0,0,0,0,package://css_bot/meshes/Link_Stom_1.STL,,00_Assembly_03_Stomach-1/03_Stom_06S1-BotRotationCap-1;00_Assembly_03_Stomach-1/03_Stom_10R1-ServoHolderBack-1;00_Assembly_03_Stomach-1/03_Stom_10L1-ServoHolderBack-1;00_Assembly_03_Stomach-1/03_Stom_08S1-TStoBackStand-1;00_Assembly_03_Stomach-1/03_Stom_09S1-TStoFrontStand-1;00_Assembly_03_Stomach-1/03_Stom_15S1-TStomRotFront-1;00_Assembly_03_Stomach-1/03_Stom_14S1-TStomRotBack-1,C_Stom_1,Axis_Stom_1,Joint_Stom_1,revolute,0,0,0,0,0,0,Link_Stom,0,0,1,100,1,-1.6,1.6,,,0,0,,,,
Link_Stom_2,-0.00617798342089961,9.69258275608772E-06,0.175039056480645,0,0,0,2.55411858945128,0.0330447440758719,-1.10749041056143E-07,0.00018400689487766,0.0195516919886766,2.08788417839773E-06,0.0140951894930034,0,0,0,0,0,0,package://css_bot/meshes/Link_Stom_2.STL,1,1,1,1,0,0,0,0,0,0,package://css_bot/meshes/Link_Stom_2.STL,,00_Assembly_04_Torso-1/04_Torso_02S1-Torso_Front-1;00_Assembly_04_Torso-1/04_Torso_12S1-BackCover-1;00_Assembly_04_Torso-1/04_Torso_01S1-Torso_Back-1;00_Assembly_04_Torso-1/04_Torso_05S2-InterKinectSide-1;00_Assembly_04_Torso-1/04_Torso_04S2-InterKinectMid-1;00_Assembly_04_Torso-1/04_Torso_04S2-InterKinectMid-2;00_Assembly_04_Torso-1/04_Torso_05S2-InterKinectSide-2;00_Assembly_04_Torso-1/04_Torso_03R1_Torso_Mid-1;00_Assembly_04_Torso-1/04_Torso_03L1_Torso_Mid-1;00_Assembly_05_Head-1/05_Head_04S1-ThroatHole-1;00_Assembly_05_Head-1/05_Head_03S1-ThroatHolder-1;00_Assembly_05_Head-1/05_Head_01S1-Neck-1;00_Assembly_04_Torso-1/04_Torso_06S1-Chest-1,C_Stom_2,Axis_Stom_2,Joint_Stom_2,revolute,0,0,0.108,0,0,0,Link_Stom_1,1,0,0,100,1,-0.6,0.6,,,0,0,,,,
Link_RShoulder_1,0.0526993138939105,-0.0108285250828227,0.0120153601424977,0,0,0,0.22436008904152,0.000110606343158319,6.33042195287753E-06,-1.34435923655176E-05,0.000279708883787942,7.6415413976905E-07,0.000199344546225538,0,0,0,0,0,0,package://css_bot/meshes/Link_RShoulder_1.STL,0.498039215686275,0.498039215686275,0.498039215686275,1,0,0,0,0,0,0,package://css_bot/meshes/Link_RShoulder_1.STL,,00_Assembly_06R_Shoulder-1/06_Shoulder_01R1-Pivcenter-1;00_Assembly_06R_Shoulder-1/10_Common_13N1-XlzServo_70KG&XlzServoPlate-1;00_Assembly_06R_Shoulder-1/06_Shoulder_04R1-PivTit-1;00_Assembly_06R_Shoulder-1/06_Shoulder_06B2-Servoholder-1;00_Assembly_06R_Shoulder-1/06_Shoulder_06A2-Servoholder-1,C_RShou_1,Axis_RShou_1,Joint_RShoulder_1,revolute,0,-0.1435,0.298,3.1416,1.5708,0,Link_Stom_2,0,0,1,100,1,0,1.6,,,0,0,,,,
Link_RShoulder_2,-0.00919278113282453,-0.0262090385845012,-0.0270204406704604,0,0,0,0.295164250786627,0.000241545582831188,1.2905993003123E-06,-9.01693233840921E-06,0.000281618212802564,1.47494309594065E-06,0.000185886607534219,0,0,0,0,0,0,package://css_bot/meshes/Link_RShoulder_2.STL,0.498039215686275,0.498039215686275,0.498039215686275,1,0,0,0,0,0,0,package://css_bot/meshes/Link_RShoulder_2.STL,,00_Assembly_06R_Shoulder-1/06_Shoulder_12R1-PivMit-1;00_Assembly_06R_Shoulder-1/06_Shoulder_13B2-PivConnector-2;00_Assembly_06R_Shoulder-1/06_Shoulder_13A2-PivConnector-1;00_Assembly_06R_Shoulder-1/10_Common_13N1-XlzServo_70KG&XlzServoPlate-3;00_Assembly_06R_Shoulder-1/06_Shoulder_14R1-Rotcenter-1;00_Assembly_06R_Shoulder-1/06_Shoulder_15R1-RotTit-1,C_RShou_2,Axis_RShou_2,Joint_RShoulder_2,revolute,0.039,0.081,0,-1.5708,1.5708,0,Link_RShoulder_1,0,0,1,100,1,0,1.6,,,0,0,,,,
Link_RShoulder_3,-0.0050292255927874,1.45597740222603E-06,-0.140384000605186,0,0,0,0.299216908480878,0.00110749831481239,-1.11903745038465E-09,0.000126955203324863,0.00110531871737773,3.25575630405315E-08,0.000482637023796558,0,0,0,0,0,0,package://css_bot/meshes/Link_RShoulder_3.STL,0.843137254901961,0.815686274509804,0.752941176470588,1,0,0,0,0,0,0,package://css_bot/meshes/Link_RShoulder_3.STL,,00_Assembly_07R_Bicep-1/07_Bicep_01S2-RotMit-1;00_Assembly_07R_Bicep-1/07_Bicep_02S2_Arm-1,C_RShou_3,Axis_RShou_3,Joint_RShoulder_3,revolute,0,-0.284,0,1.5708,0,0,Link_RShoulder_2,0,0,1,100,1,-1.6,1.6,,,0,0,,,,
Link_RElbow_1,-0.00245421928023107,-0.0843351414367431,0.00416854388916815,0,0,0,0.242731060300689,0.000626338354994353,-4.14375951631432E-05,-1.56017336140974E-05,0.000374866306493349,-1.1687248730107E-05,0.00066113075594044,0,0,0,0,0,0,package://css_bot/meshes/Link_RElbow_1.STL,0.843137254901961,0.815686274509804,0.752941176470588,1,0,0,0,0,0,0,package://css_bot/meshes/Link_RElbow_1.STL,,00_Assembly_07R_Bicep-1/07_Bicep_05R1-BicepDesign-1,C_RElbow_1,Axis_RElbow_1,Joint_RElbow_1,revolute,-0.008,-0.0065532,0,-1.5708,0,0,Link_RShoulder_3,0,0,1,20,5,0,1.6,,,0,0,,,,
Link_RElbow_2,7.18961342559277E-05,-0.000360282308781629,-0.0475347118463018,0,0,0,0.158787685430162,0.000171996630320634,7.78607075139518E-08,-3.81467208085751E-07,0.000178445648091556,5.52381737061786E-06,7.8444581912449E-05,0,0,0,0,0,0,package://css_bot/meshes/Link_RElbow_2.STL,0.843137254901961,0.815686274509804,0.752941176470588,1,0,0,0,0,0,0,package://css_bot/meshes/Link_RElbow_2.STL,,00_Assembly_07R_Bicep-1/07_Bicep_05R1-BicepDesign_Bottom-1;00_Assembly_07R_Bicep-1/07_Bicep_10S2-Servo-RDS3115-1,C_RElbow_2,Axis_RElbow_2,Joint_RElbow_2,revolute,-0.0065886,-0.283,0,1.5708,0.61087,0,Link_RElbow_1,0,0,1,10,10,-1.6,1.6,,,0,0,,,,
Link_RWrist,-3.78173038768359E-05,-0.0616982963757688,-0.00213797037412256,0,0,0,0.0902142977443489,0.000157827218564051,-1.11371620734417E-06,7.68125657090408E-07,7.37514900983847E-05,-2.21689704274223E-06,8.9448371336846E-05,0,0,0,0,0,0,package://css_bot/meshes/Link_RWrist.STL,0.647058823529412,0.619607843137255,0.6,1,0,0,0,0,0,0,package://css_bot/meshes/Link_RWrist.STL,,00_Assembly_08R_Hand-1/08_Hand_01R1-Parm-1;00_Assembly_08R_Hand-1/08_Hand_02R1-HandCap-1,C_RWrist,Axis_RWrist,Joint_RWrist,revolute,0,0,0,-1.5708,0,0,Link_RElbow_2,0,0,1,10,10,-1.6,1.6,,,0,0,,,,
Link_RThumb_1,0.0140650741619172,-0.000866700389487746,0.000493641261576472,0,0,0,0.00760049826248115,7.53993196111431E-07,-7.85688563141637E-09,1.82761019021648E-08,6.9648868128391E-07,1.53381809327462E-08,4.843828191515E-07,0,0,0,0,0,0,package://css_bot/meshes/Link_RThumb_1.STL,0.647058823529412,0.619607843137255,0.6,1,0,0,0,0,0,0,package://css_bot/meshes/Link_RThumb_1.STL,,00_Assembly_08R_Hand-1/08_Hand_06R1-Thumb_1-1;00_Assembly_08R_Hand-1/08_Hand_06R1-Thumb_2-1,C_RThumb_1,Axis_RThumb_1,Joint_RThumb_1,revolute,0.003,-0.045397,0.03103,2.9995,-1.4826,1.7134,Link_RWrist,0,0,1,1,10,0,1.6,,,0,0,,,,
